corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-ita	IT18420_Manzoni_Promessi-Sposi	IT18420	Manzoni, Alessandro	Promessi Sposi	1785	1873	M	NA	1842	1842	NA	1954-	NA	NA	ita	215495	NA	NA	long	high	T1
ELTeC-ita	IT18520_Tommaseo_Fede-e-bellezza	IT18520	Tommaseo, Niccolò	Fede e bellezza	1802	1874	M	NA	1852	1852	NA	NA	NA	NA	ita	46720	NA	NA	short	high	T1
ELTeC-ita	IT18530_Ruffini_Lorenzo-Benoni-ovvero-scene-della-vita-di-un-italiano	IT18530	Ruffini, Giovanni	Lorenzo Benoni, ovvero scene della vita di un italiano	1807	1881	M	viaf:49384032	1853	1853	NA	2005	NA	NA	ita	126277	NA	NA	long	unspecified	T1
ELTeC-ita	IT18590_Rovani_Cent-anni	IT18590	Rovani, Giuseppe	Cent'anni	1818	1874	M	viaf:2579508	1859	1859	NA	1975	NA	NA	ita	420104	NA	NA	long	unspecified	T1
ELTeC-ita	IT18600_Guerrazzi_Pasquale-Paoli-ossia-La-rotta-di-Ponte-Nuovo	IT18600	Guerrazzi, Francesco Domenico	Pasquale Paoli, ossia La rotta di Ponte Nuovo	1804	1873	M	viaf:66538608	1860	1860	NA	1883	NA	NA	ita	202286	NA	NA	long	unspecified	T2
ELTeC-ita	IT18610_Righetti_La-scapigliatura-e-il-6-febbrajo	IT18610	Righetti, Carlo [Cletto Arrighi]	La scapigliatura e il 6 febbrajo	1828	1906	M	viaf:66678990	1861	1861	NA	1988	NA	NA	ita	65883	NA	NA	medium	unspecified	T2
ELTeC-ita	IT18660_Verga_Una-peccatrice	IT18660	Verga, Giovanni	Una peccatrice	1840	1922	M	viaf:18647	1866	1866	NA	1995	NA	NA	ita	37113	NA	NA	short	unspecified	T2
ELTeC-ita	IT18671_Petruccelli-della-Gattina_Memorie-di-Giuda	IT18671	               Ferdinando	Memorie di Giuda	1815	1890	M	viaf:17255247	1867	1867	NA	1883	NA	NA	ita	142255	NA	NA	long	unspecified	T2
ELTeC-ita	IT18670_Nievo_Le-confessioni-d-un-Italiano	IT18670	Nievo, Ippolito	Le confessioni d'un Italiano	1831	1861	M	viaf:68995581	1867	1867	NA	1964	NA	NA	ita	338962	NA	NA	long	unspecified	T2
ELTeC-ita	IT18691_Tarchetti_Fosca	IT18691	Tarchetti, Iginio Ugo	Fosca	1839	1869	M	viaf:34557152	1869	1869	NA	1971	NA	NA	ita	57440	NA	NA	medium	unspecified	T2
